sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
ising_lab.PT,216005,216,50,-376.0,-376.0,-376.0,1.2504833229759242,50,1.0,0.025009666459518486,-376.0
neal.SA,216005,216,50,-376.0,-376.0,-375.12,0.9568011240044143,41,0.82,0.051390670040301845,-376.0
ising_lab.SA,216006,216,50,-394.0,-394.0,-392.88,0.14017817997955717,37,0.74,0.00958439616337786,-394.0
ising_lab.PT,216006,216,50,-394.0,-394.0,-394.0,1.3011572620016523,50,1.0,0.026023145240033047,-394.0
neal.SA,216006,216,50,-394.0,-394.0,-392.48,0.9051242719870061,32,0.64,0.08159832079759202,-394.0
ising_lab.SA,216007,216,50,-386.0,-386.0,-386.0,0.1299278780061286,50,1.0,0.002598557560122572,-386.0
ising_lab.PT,216007,216,50,-386.0,-386.0,-386.0,1.249513101996854,50,1.0,0.02499026203993708,-386.0
neal.SA,216007,216,50,-386.0,-386.0,-385.68,0.8585278569953516,48,0.96,0.024565513589124725,-386.0
ising_lab.SA,216008,216,50,-386.0,-386.0,-383.92,0.13317983099841513,35,0.7,0.010188200013906608,-386.0
ising_lab.PT,216008,216,50,-386.0,-386.0,-386.0,1.1929251740220934,50,1.0,0.02385850348044187,-386.0
neal.SA,216008,216,50,-386.0,-386.0,-383.28,0.8952613830042537,30,0.6,0.08998958270034957,-386.0
ising_lab.SA,216009,216,50,-388.0,-384.0,-385.44,0.13204607099760324,23,0.46,0.019737367994146902,-388.0
ising_lab.PT,216009,216,50,-388.0,-388.0,-388.0,1.215805615996942,50,1.0,0.02431611231993884,-388.0
neal.SA,216009,216,50,-388.0,-386.0,-385.76,0.8816314119903836,25,0.5,0.1171486462730428,-388.0
