sampler,instance_seed,n,num_reads,best_energy,median_energy,mean_energy,wall_time,success_count,success_prob,tts_99,ground_state_energy
ising_lab.SA,24002,24,50,-78.0,-78.0,-77.72,0.0064427549950778484,46,0.92,0.00023494197039590798,-78.0
ising_lab.PT,24002,24,50,-78.0,-78.0,-78.0,0.055992167006479576,50,1.0,0.0011198433401295915,-78.0
neal.SA,24002,24,50,-78.0,-78.0,-77.76,0.027056302002165467,47,0.94,0.0008857496317988876,-78.0
ising_lab.SA,24003,24,50,-78.0,-78.0,-78.0,0.005642556003294885,50,1.0,0.0001128511200658977,-78.0
ising_lab.PT,24003,24,50,-78.0,-78.0,-78.0,0.04621512599987909,50,1.0,0.0009243025199975819,-78.0
neal.SA,24003,24,50,-78.0,-78.0,-78.0,0.025842492992524058,50,1.0,0.0005168498598504812,-78.0
ising_lab.SA,24004,24,50,-72.0,-72.0,-71.6,0.005832644994370639,42,0.84,0.00029314192427319446,-72.0
ising_lab.PT,24004,24,50,-72.0,-72.0,-72.0,0.053616148012224585,50,1.0,0.0010723229602444917,-72.0
neal.SA,24004,24,50,-72.0,-72.0,-71.6,0.028331114997854456,40,0.8,0.0016213064836604757,-72.0
ising_lab.SA,30000,30,50,-107.0,-107.0,-107.0,0.036082385980989784,50,1.0,0.0007216477196197957,-107.0
ising_lab.PT,30000,30,50,-107.0,-107.0,-107.0,0.36328754501300864,50,1.0,0.0072657509002601725,-107.0
neal.SA,30000,30,50,-107.0,-107.0,-107.0,0.17069296099361964,50,1.0,0.003413859219872393,-107.0
ising_lab.SA,30001,30,50,-107.0,-107.0,-106.56,0.03573207597946748,47,0.94,0.0011697708408078126,-107.0
ising_lab.PT,30001,30,50,-107.0,-107.0,-107.0,0.3651025060098618,50,1.0,0.007302050120197237,-107.0
neal.SA,30001,30,50,-107.0,-107.0,-106.64,0.17334787399158813,46,0.92,0.006321316131164348,-107.0
ising_lab.SA,30002,30,50,-103.0,-103.0,-102.16,0.040145325008779764,39,0.78,0.0024420139708574945,-103.0
ising_lab.PT,30002,30,50,-103.0,-103.0,-103.0,0.3801993550150655,50,1.0,0.00760398710030131,-103.0
neal.SA,30002,30,50,-103.0,-103.0,-102.28,0.16563920400221832,36,0.72,0.011984560752821716,-103.0
ising_lab.SA,30003,30,50,-109.0,-109.0,-109.0,0.03656561698880978,50,1.0,0.0007313123397761956,-109.0
ising_lab.PT,30003,30,50,-109.0,-109.0,-109.0,0.37097433500457555,50,1.0,0.007419486700091511,-109.0
neal.SA,30003,30,50,-109.0,-109.0,-109.0,0.16437308699823916,50,1.0,0.0032874617399647832,-109.0
ising_lab.SA,30004,30,50,-137.0,-137.0,-137.0,0.03635086299618706,50,1.0,0.0007270172599237412,-137.0
ising_lab.PT,30004,30,50,-137.0,-137.0,-137.0,0.3726887560042087,50,1.0,0.007453775120084174,-137.0
neal.SA,30004,30,50,-137.0,-137.0,-137.0,0.15453648500260897,50,1.0,0.0030907297000521794,-137.0
ising_lab.SA,50000,50,50,-251.0,-251.0,-250.52,0.09019748400896788,47,0.94,0.0029528199472246843,-251.0
ising_lab.PT,50000,50,50,-251.0,-251.0,-251.0,0.9614923949993681,50,1.0,0.019229847899987364,-251.0
neal.SA,50000,50,50,-251.0,-251.0,-250.36,0.3444496150186751,45,0.9,0.013777984600747003,-251.0
ising_lab.SA,50001,50,50,-239.0,-239.0,-239.0,0.08965714499936439,50,1.0,0.0017931428999872878,-239.0
ising_lab.PT,50001,50,50,-239.0,-239.0,-239.0,0.9251150419877376,50,1.0,0.01850230083975475,-239.0
neal.SA,50001,50,50,-239.0,-239.0,-239.0,0.3494699590082746,50,1.0,0.006989399180165492,-239.0
ising_lab.SA,50002,50,50,-283.0,-283.0,-283.0,0.08947706600883976,50,1.0,0.0017895413201767952,-283.0
ising_lab.PT,50002,50,50,-283.0,-283.0,-283.0,0.9163557199935894,50,1.0,0.01832711439987179,-283.0
neal.SA,50002,50,50,-283.0,-283.0,-283.0,0.3414194729994051,50,1.0,0.006828389459988102,-283.0
ising_lab.SA,50003,50,50,-257.0,-257.0,-257.0,0.10235626401845366,50,1.0,0.0020471252803690733,-257.0
ising_lab.PT,50003,50,50,-257.0,-257.0,-257.0,0.9780607449938543,50,1.0,0.019561214899877086,-257.0
neal.SA,50003,50,50,-257.0,-257.0,-256.96,0.36530286399647593,49,0.98,0.008600572418916635,-257.0
ising_lab.SA,50004,50,50,-241.0,-241.0,-240.32,0.08825386999524198,36,0.72,0.006385468180681682,-241.0
ising_lab.PT,50004,50,50,-241.0,-241.0,-241.0,0.9382110770093277,50,1.0,0.018764221540186553,-241.0
neal.SA,50004,50,50,-241.0,-241.0,-240.16,0.3620144549931865,32,0.64,0.032636150135551274,-241.0
ising_lab.SA,80000,80,50,-500.0,-496.0,-496.76,0.21658537798793986,8,0.16,0.11441275007784055,-500.0
ising_lab.PT,80000,80,50,-500.0,-500.0,-500.0,2.3741439010191243,50,1.0,0.04748287802038249,-500.0
